source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
5,5,GNAI2,CCR5,0.4440906,0.048,0.059516713,0.45676976,0.12114765290305674,0.09469031,0.66135764,0.22611920483661513,1.0
5,5,GNAI2,ADCY7,0.44514832,0.081,0.06124116,0.2689063,0.019472612892676044,0.04106817,0.6645487,0.47173328159185807,1.0
5,5,CCL3,CCR5,0.420904,0.081,0.056130942,0.4468862,0.12257488974346442,0.1018609,0.65476817,0.29844426918869904,1.0
5,5,FADD,TRADD,0.23736851,0.296,0.044585396,0.168448,-0.1431291521671677,0.06196714,0.6282986,1.0,1.0
0,2,SIRPG,CD47,0.37437892,0.0,0.097526625,0.17528874,0.31707318895488296,0.06338177,0.7142844,0.33815052206135454,1.0
0,2,PKM,CD44,0.7656555,0.998,0.58613896,-0.07167496,-0.05906237390058422,0.018268064,0.8597241,1.0,1.0
3,4,CD72,CD5,0.33276433,0.0,0.06486925,0.5464742,0.7083310318496943,0.1375968,0.6709331,0.004426530751436249,1.0
3,4,CD47,SIRPA,0.28465003,0.058,0.053900767,0.19357008,0.06768614171160925,0.05891163,0.6501717,0.3390795064650577,1.0
3,4,CCL5,CXCR3,0.25283772,1.0,0.063820064,-0.00083342195,-1.0955432079027843,0.012407151,0.66913056,1.0,1.0
3,4,CALM3,KCNQ1,0.2431127,1.0,0.054616574,0.112686545,-0.24699786571214483,0.03844037,0.6516705,1.0,1.0
2,5,LCK,CD8A_CD8B,0.82228273,0.019,0.5646106,0.37884378,0.4403791696375534,0.11339339,0.8574524,0.1300186710193525,1.0
2,5,IL16,KCNA3,0.23364434,0.162,0.04375671,0.15634474,0.22423520858043497,0.052703917,0.6261052,0.5197619697098625,1.0
2,5,ICAM2,ITGAM_ITGB2,0.39213532,0.032,0.14327462,0.36641616,0.33205174358048406,0.08979259,0.7518686,0.16837267698367295,1.0
5,5,F13A1,ITGA4,0.39315686,0.002,0.069368504,0.65669096,0.38191600503126155,0.16993068,0.67829293,0.05607520311902177,1.0
5,5,COL9A2,CD44,0.5238581,0.329,0.05407013,0.21571566,-0.1797973228821058,0.049618788,0.6505283,1.0,1.0
3,3,ADAM28,ITGA4,0.28492913,0.0,0.07686801,0.47598517,0.6437800489436758,0.071426615,0.68938947,0.03225639911283645,1.0
3,2,LRPAP1,SORL1,0.23112991,0.879,0.053263776,-0.03379505,-0.004841642126117818,0.031414684,0.6488185,1.0,1.0
2,5,SPON2,ITGA4,0.76750374,0.0,0.58226395,1.0314169,1.496980123632536,0.24583945,0.8593236,0.0010454373679042832,1.0
0,3,LGALS1,CD69,0.80624294,1.0,0.60028565,-0.10484232,-0.9432565063894728,0.0161408,0.861156,1.0,1.0
0,3,GNAI2,S1PR4,0.36841094,0.998,0.121964596,-0.08229196,-0.3192355100377674,0.014548671,0.73654485,1.0,1.0
2,5,PSAP,LRP1,0.4239313,1.0,0.058326907,-0.12184048,-0.5740336907343068,0.020857602,0.6590926,1.0,1.0
2,5,PKM,CD44,0.78243107,0.637,0.56774104,-0.056294188,-0.4126781424862458,0.017694658,0.85779,1.0,1.0
3,4,ANXA1,FPR1,0.25768244,1.0,0.0656878,-0.37267756,-1.143171868722181,0.0069801267,0.67231584,1.0,1.0
3,4,ADAM28,ITGA4,0.28873155,0.001,0.079534486,0.4833013,0.5157508256648149,0.073904335,0.6930287,0.044518540613046866,1.0
3,3,S100A9,ITGB2,0.28165662,1.0,0.07895315,-0.5521444,-2.666781230920318,0.0017467468,0.69224775,1.0,1.0
3,3,LGALS9,CD47,0.3309851,0.897,0.09554176,-0.054955304,-0.1100980787199139,0.01090732,0.7121816,1.0,1.0
3,3,LGALS9,CD44,0.37236685,1.0,0.11313925,-0.23660135,-0.4105792129501303,0.009649865,0.7291928,1.0,1.0
3,4,FAM3C,LAMP1,0.22564137,0.429,0.050912417,0.095278494,0.018848030206795374,0.027211862,0.6436576,1.0,1.0
3,4,CD99,PILRB,0.35185802,1.0,0.09824923,-0.14107764,-0.4945953536068293,0.01880373,0.71503705,1.0,1.0
5,5,GNAS,ADCY7,0.6688864,0.009,0.094858654,0.44171286,0.22710999318244168,0.0454181,0.7114457,0.30466964467340785,1.0
5,5,GNAI2,S1PR1,0.4453446,0.069,0.06156115,0.3039947,0.0498802692708013,0.062085744,0.6651293,0.3885373445157367,1.0
0,2,GNAI2,S1PR4,0.3809372,0.996,0.12825525,-0.06671127,-0.201549228944929,0.015299059,0.74139524,1.0,1.0
0,2,CLEC2D,KLRB1,0.2934669,0.0,0.07831817,0.3674826,0.6121813150268757,0.17425859,0.69138694,0.03874888565764713,1.0
0,2,ACTR2,ADRB2,0.2357176,0.0,0.05514446,0.17420588,0.11769454880728508,0.03703989,0.6527614,0.5731189987004015,1.0
5,5,FCER2,ITGAM_ITGB2,0.24087954,0.106,0.055640705,0.39089087,0.11589171949517194,0.06921802,0.65377605,0.3660250000000004,1.0
5,5,HLA-DQB1,LAG3,0.4136769,0.263,0.10082615,0.20773005,-0.1620924300435329,0.037162274,0.71766746,1.0,1.0
5,5,HLA-DQA2,LAG3,0.2461909,0.216,0.05107248,0.21048447,-0.09555791598223562,0.03367357,0.6440176,0.8607776113316616,1.0
5,5,HLA-DQA1,LAG3,0.36198625,0.328,0.08547084,0.16499239,-0.3584936062595586,0.029910536,0.70063204,1.0,1.0
5,5,ICAM2,ITGAL_ITGB2,0.28096545,0.523,0.07843667,0.020077571,-0.4533004355618127,0.029300231,0.6915482,1.0,1.0
5,5,ICAM1,IL2RG,0.5981672,0.171,0.084232815,0.2739106,0.20443175464033597,0.063306086,0.69909954,0.5440337161595673,1.0
